"","Year","State","mk1","mk2","measure","other","type","chem_name","chem_index","Value"
"1",2023,"CALIFORNIA","APPLICATIONS",NA,"LB",NA,"FUNGICIDE","OXATHIAPIPROLIN","128111","(D)"
"2",2023,"CALIFORNIA","APPLICATIONS",NA,"LB",NA,"INSECTICIDE","CYCLANILIPROLE","26202","(D)"
"3",2023,"CALIFORNIA","APPLICATIONS",NA,"LB",NA,"INSECTICIDE","PERMETHRIN","109701","(D)"
"4",2023,"CALIFORNIA","APPLICATIONS",NA,"LB",NA,"OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","(NA)"
"5",2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / APPLICATION","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111","(D)"
"6",2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / APPLICATION","AVG","INSECTICIDE","CYCLANILIPROLE","26202","(D)"
"7",2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / APPLICATION","AVG","INSECTICIDE","PERMETHRIN","109701","(D)"
"8",2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / APPLICATION","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","(NA)"
"9",2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / YEAR","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111","(D)"
"10",2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / YEAR","AVG","INSECTICIDE","CYCLANILIPROLE","26202","(D)"
"11",2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / YEAR","AVG","INSECTICIDE","PERMETHRIN","109701","(D)"
"12",2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / YEAR","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","(NA)"
"13",2023,"CALIFORNIA","APPLICATIONS",NA,"NUMBER","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111","(D)"
"14",2023,"CALIFORNIA","APPLICATIONS",NA,"NUMBER","AVG","INSECTICIDE","CYCLANILIPROLE","26202","(D)"
"15",2023,"CALIFORNIA","APPLICATIONS",NA,"NUMBER","AVG","INSECTICIDE","PERMETHRIN","109701","(D)"
"16",2023,"CALIFORNIA","APPLICATIONS",NA,"NUMBER","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","(D)"
"17",2023,"CALIFORNIA","TREATED",NA,"PCT OF AREA BEARING","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111","(D)"
"18",2023,"CALIFORNIA","TREATED",NA,"PCT OF AREA BEARING","AVG","INSECTICIDE","CYCLANILIPROLE","26202","(D)"
"19",2023,"CALIFORNIA","TREATED",NA,"PCT OF AREA BEARING","AVG","INSECTICIDE","PERMETHRIN","109701","(D)"
"20",2023,"CALIFORNIA","TREATED",NA,"PCT OF AREA BEARING","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","(D)"
"21",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","AZOXYSTROBIN","128810","3,300"
"22",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747","16482","(NA)"
"23",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","BACILLUS SUBTILIS","6479","(NA)"
"24",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","BLAD","30006","(D)"
"25",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","BORAX DECAHYDRATE","11102","2,800"
"26",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","BOSCALID","128008","6,600"
"27",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19","6544","(NA)"
"28",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","CAPTAN","81301","603,100"
"29",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","CYFLUFENAMID","555550","(D)"
"30",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","CYPRODINIL","288202","30,300"
"31",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","DIFENOCONAZOLE","128847","(D)"
"32",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","FENHEXAMID","90209","8,600"
"33",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","FLUDIOXONIL","71503","22,400"
"34",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","FLUOPYRAM","80302","14,600"
"35",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","FLUXAPYROXAD","138009","7,100"
"36",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","FOSETYL-AL","123301","(D)"
"37",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","ISOFETAMID","270000","(D)"
"38",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","MEFENOXAM","113502","7,200"
"39",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","MONO-POTASSIUM SALT","76416","(D)"
"40",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","MYCLOBUTANIL","128857","10,800"
"41",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","PENTHIOPYRAD","90112","4,000"
"42",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","POLYOXIN D ZINC SALT","230000","3,300"
"43",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","PROPICONAZOLE","122101","2,300"
"44",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","PYDIFLUMETOFEN","90110","(D)"
"45",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","PYRACLOSTROBIN","99100","10,600"
"46",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","PYRIMETHANIL","288201","8,300"
"47",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","QUINOLINE","55459","3,600"
"48",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","SULFUR","77501","1,258,100"
"49",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","TETRACONAZOLE","120603","1,300"
"50",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","THIOPHANATE-METHYL","102001","10,600"
"51",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","THIRAM","79801","269,500"
"52",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","TOTAL",NA,"2,338,800"
"53",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","TRIFLOXYSTROBIN","129112","14,600"
"54",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","TRIFLUMIZOLE","128879","(D)"
"55",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"HERBICIDE","CARFENTRAZONE-ETHYL","128712","(D)"
"56",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"HERBICIDE","FLUMIOXAZIN","129034","3,900"
